axial_kN,moment_kNm,failure_mode
-895.9960611977845,39.338203825541754,Tension-Controlled
-895.9762793796027,39.338204022161044,Tension-Controlled
-895.9564975614209,39.3382042955098,Tension-Controlled
-895.936715743239,39.33820464558804,Tension-Controlled
-895.9169339250573,39.33820507239575,Tension-Controlled
-895.8971521068754,39.33820557593294,Tension-Controlled
-895.8773702886936,39.33820615619961,Tension-Controlled
-895.8575884705118,39.33820681319575,Tension-Controlled
-895.83780665233,39.338207546921375,Tension-Controlled
-196.4721819480724,179.20737693459162,Tension-Controlled
-196.45240012989058,179.2073778217762,Tension-Controlled
-196.43261831170875,179.20737878569025,Tension-Controlled
-196.41283649352692,179.20737982633375,Tension-Controlled
-196.39305467534513,179.20738094370677,Tension-Controlled
-196.3732728571633,179.20738213780925,Tension-Controlled
-196.35349103898147,179.20738340864122,Tension-Controlled
-196.33370922079968,179.20738475620263,Tension-Controlled
-196.31392740261785,179.20738618049353,Tension-Controlled
-196.29414558443602,179.20738768151392,Tension-Controlled
-196.27436376625423,179.20738925926378,Tension-Controlled
-196.2545819480724,179.20739091374313,Tension-Controlled
-196.2348001298906,179.20739264495194,Tension-Controlled
-196.21501831170875,179.20739445289024,Tension-Controlled
-196.19523649352692,179.207396337558,Tension-Controlled
-196.17545467534512,179.20739829895527,Tension-Controlled
-196.1556728571633,179.20740033708196,Tension-Controlled
-196.1358910389815,179.20740245193818,Tension-Controlled
-196.11610922079967,179.20740464352383,Tension-Controlled
-196.09632740261785,179.207406911839,Tension-Controlled
-196.07654558443605,179.2074092568836,Tension-Controlled
-196.05676376625422,179.20741167865773,Tension-Controlled
-196.0369819480724,179.2074141771613,Tension-Controlled
-196.01720012989057,179.20741675239438,Tension-Controlled
-195.99741831170874,179.2074194043569,Tension-Controlled
-195.97763649352694,179.2074221330489,Tension-Controlled
-195.95785467534512,179.20742493847038,Tension-Controlled
-195.9380728571633,179.20742782062138,Tension-Controlled
-195.9182910389815,179.20743077950183,Tension-Controlled
-195.89850922079967,179.20743381511173,Tension-Controlled
-195.87872740261784,179.20743692745114,Tension-Controlled
-195.85894558443604,179.20744011652,Tension-Controlled
-195.83916376625422,179.20744338231836,Tension-Controlled
-195.81938194807242,179.20744672484616,Tension-Controlled
-195.79960012989056,179.20745014410346,Tension-Controlled
-195.77981831170874,179.20745364009022,Tension-Controlled
-195.76003649352694,179.2074572128065,Tension-Controlled
-195.7402546753451,179.20746086225225,Tension-Controlled
-195.72047285716332,179.20746458842743,Tension-Controlled
-195.7006910389815,179.20746839133213,Tension-Controlled
-195.68090922079966,179.20747227096626,Tension-Controlled
-195.66112740261786,179.20747622732992,Compression-Controlled
-195.64134558443604,179.20748026042304,Compression-Controlled
-195.6215637662542,179.2074843702456,Compression-Controlled
-195.6017819480724,179.20748855679767,Compression-Controlled
-195.58200012989056,179.20749282007924,Compression-Controlled
-195.56221831170876,179.20749716009024,Compression-Controlled
-195.54243649352694,179.20750157683074,Compression-Controlled
-195.5226546753451,179.2075060703007,Compression-Controlled
-195.5028728571633,179.20751064050015,Compression-Controlled
-195.48309103898148,179.2075152874291,Compression-Controlled
-195.4633092207997,179.20752001108747,Compression-Controlled
-195.44352740261786,179.20752481147537,Compression-Controlled
-195.42374558443603,179.20752968859273,Compression-Controlled
-195.40396376625424,179.20753464243955,Compression-Controlled
-195.38418194807238,179.20753967301587,Compression-Controlled
-195.36440012989056,179.20754478032165,Compression-Controlled
-195.34461831170876,179.2075499643569,Compression-Controlled
-195.32483649352693,179.20755522512164,Compression-Controlled
-195.30505467534513,179.20756056261587,Compression-Controlled
-195.2852728571633,179.20756597683953,Compression-Controlled
-195.26549103898148,179.20757146779272,Compression-Controlled
-195.24570922079968,179.20757703547537,Compression-Controlled
-195.22592740261786,179.20758267988748,Compression-Controlled
-195.20614558443603,179.20758840102908,Compression-Controlled
-195.1863637662542,179.20759419890015,Compression-Controlled
-195.16658194807238,179.2076000735007,Compression-Controlled
-195.14680012989058,179.20760602483074,Compression-Controlled
-195.12701831170875,179.20761205289025,Compression-Controlled
-195.10723649352693,179.20761815767924,Compression-Controlled
-195.08745467534513,179.20762433919768,Compression-Controlled
-195.0676728571633,179.20763059744561,Compression-Controlled
-195.0478910389815,179.20763693242301,Compression-Controlled
-195.02810922079968,179.2076433441299,Compression-Controlled
-195.00832740261785,179.20764983256626,Compression-Controlled
-194.98854558443605,179.2076563977321,Compression-Controlled
-194.9687637662542,179.20766303962742,Compression-Controlled
-194.94898194807237,179.20766975825222,Compression-Controlled
-194.92920012989057,179.20767655360652,Compression-Controlled
-194.90941831170875,179.20768342569022,Compression-Controlled
-194.88963649352695,179.20769037450347,Compression-Controlled
-194.86985467534512,179.20769740004616,Compression-Controlled
897.8778066523299,-39.33787139958033,Compression-Controlled
897.8975884705119,-39.33786422057867,Compression-Controlled
897.9173702886936,-39.33785696484754,Compression-Controlled
897.9371521068755,-39.337849632386934,Compression-Controlled
897.9569339250573,-39.33784222319686,Compression-Controlled
897.9767157432391,-39.3378347372773,Compression-Controlled
897.9964975614209,-39.33782717462826,Compression-Controlled
898.0162793796028,-39.33781953524975,Compression-Controlled
898.0360611977845,-39.33781181914176,Compression-Controlled
